filename,width,height,class,xmin,ymin,xmax,ymax
DSC_6218.jpg,4288,2848,codierte_Marken,3789,2095,4242,2586
DSC_6218.jpg,4288,2848,codierte_Marken,804,424,1229,724
DSC_6218.jpg,4288,2848,codierte_Marken,1504,283,1982,620
DSC_6218.jpg,4288,2848,codierte_Marken,2232,111,2673,420
DSC_6218.jpg,4288,2848,codierte_Marken,2414,674,2904,1074
DSC_6218.jpg,4288,2848,codierte_Marken,2626,1367,3167,1817
DSC_6218.jpg,4288,2848,codierte_Marken,2932,11,3423,274
DSC_6218.jpg,4288,2848,codierte_Marken_2,3517,1899,3901,2277
DSC_6218.jpg,4288,2848,codierte_Marken_2,3673,8,4095,161
DSC_6220.jpg,4288,2848,codierte_Marken,1657,414,1823,605
DSC_6220.jpg,4288,2848,codierte_Marken,2404,174,2554,364
DSC_6220.jpg,4288,2848,codierte_Marken,2611,511,2826,739
DSC_6220.jpg,4288,2848,codierte_Marken,3054,236,3389,508
DSC_6220.jpg,4288,2848,codierte_Marken,3701,417,3914,611
DSC_6220.jpg,4288,2848,codierte_Marken,3270,570,3514,783
DSC_6220.jpg,4288,2848,codierte_Marken,2211,1058,2401,1280
DSC_6220.jpg,4288,2848,codierte_Marken,1692,1374,1873,1586
DSC_6220.jpg,4288,2848,codierte_Marken,2836,1174,3070,1417
DSC_6220.jpg,4288,2848,codierte_Marken,2961,695,3214,977
DSC_6220.jpg,4288,2848,codierte_Marken,3154,1039,3351,1249
DSC_6220.jpg,4288,2848,codierte_Marken,3439,870,3679,1092
DSC_6220.jpg,4288,2848,codierte_Marken,3748,705,3957,949
DSC_6220.jpg,4288,2848,codierte_Marken,4032,586,4220,786
DSC_6220.jpg,4288,2848,codierte_Marken,3595,1195,3814,1386
DSC_6220.jpg,4288,2848,codierte_Marken,3270,1380,3536,1658
DSC_6220.jpg,4288,2848,codierte_Marken,3736,1455,3970,1714
DSC_6220.jpg,4288,2848,uncodierte_Marken,1470,377,1657,624
DSC_6220.jpg,4288,2848,uncodierte_Marken,1520,1511,1764,1717
DSC_6220.jpg,4288,2848,uncodierte_Marken,2398,1133,2557,1358
DSC_6221.jpg,4288,2848,codierte_Marken,1636,1199,1761,1380
DSC_6221.jpg,4288,2848,codierte_Marken,1842,1261,1973,1433
DSC_6221.jpg,4288,2848,codierte_Marken,2195,895,2320,1058
DSC_6221.jpg,4288,2848,codierte_Marken,2132,1114,2261,1261
DSC_6221.jpg,4288,2848,codierte_Marken,2036,1333,2201,1520
DSC_6221.jpg,4288,2848,codierte_Marken,2289,1411,2407,1555
DSC_6221.jpg,4288,2848,codierte_Marken,2454,1442,2626,1630
DSC_6221.jpg,4288,2848,codierte_Marken,1951,1542,2117,1695
DSC_6221.jpg,4288,2848,codierte_Marken,1898,1752,2054,1961
DSC_6221.jpg,4288,2848,codierte_Marken,126,217,264,349
DSC_6221.jpg,4288,2848,codierte_Marken,307,383,467,514
DSC_6221.jpg,4288,2848,codierte_Marken,157,786,270,924
DSC_6221.jpg,4288,2848,codierte_Marken,882,786,1039,942
DSC_6221.jpg,4288,2848,codierte_Marken,1004,83,1132,245
DSC_6221.jpg,4288,2848,codierte_Marken,567,108,751,277
DSC_6221.jpg,4288,2848,codierte_Marken,698,277,914,405
DSC_6221.jpg,4288,2848,codierte_Marken,557,439,745,608
DSC_6221.jpg,4288,2848,codierte_Marken,536,717,707,877
DSC_6221.jpg,4288,2848,codierte_Marken,701,602,882,745
DSC_6221.jpg,4288,2848,codierte_Marken,998,592,1182,758
DSC_6221.jpg,4288,2848,codierte_Marken,1142,764,1367,930
DSC_6221.jpg,4288,2848,codierte_Marken,864,433,1045,583
DSC_6221.jpg,4288,2848,codierte_Marken,1207,124,1395,295
DSC_6221.jpg,4288,2848,codierte_Marken,1014,267,1239,445
DSC_6221.jpg,4288,2848,codierte_Marken_2,12,1,186,120
DSC_6221.jpg,4288,2848,uncodierte_Marken,273,770,386,992
DSC_6222.jpg,4288,2848,codierte_Marken,14,386,239,642
DSC_6222.jpg,4288,2848,codierte_Marken,98,33,311,295
DSC_6222.jpg,4288,2848,codierte_Marken,367,149,586,417
DSC_6222.jpg,4288,2848,codierte_Marken,1204,542,1414,808
DSC_6222.jpg,4288,2848,codierte_Marken,1551,542,1761,820
DSC_6222.jpg,4288,2848,codierte_Marken,1945,1217,2139,1408
DSC_6222.jpg,4288,2848,codierte_Marken,1879,242,2082,439
DSC_6222.jpg,4288,2848,codierte_Marken,1895,536,2089,783
DSC_6222.jpg,4288,2848,codierte_Marken,1895,877,2120,1083
DSC_6222.jpg,4288,2848,codierte_Marken,2226,530,2429,764
DSC_6222.jpg,4288,2848,codierte_Marken,2567,530,2786,717
DSC_6222.jpg,4288,2848,codierte_Marken_2,1879,1,2064,108
DSC_6226.jpg,4288,2848,codierte_Marken,1870,1430,2101,1586
DSC_6226.jpg,4288,2848,codierte_Marken,1920,1070,2132,1252
DSC_6226.jpg,4288,2848,codierte_Marken,1595,1170,1767,1383
DSC_6227.jpg,4288,2848,codierte_Marken,1495,1036,1732,1255
DSC_6227.jpg,4288,2848,codierte_Marken,1507,817,1745,1080
DSC_6227.jpg,4288,2848,codierte_Marken,1820,995,2014,1183
DSC_6227.jpg,4288,2848,codierte_Marken,1851,649,2045,895
DSC_6227.jpg,4288,2848,codierte_Marken_2,1436,583,1711,736
DSC_6228.jpg,4288,2848,codierte_Marken,151,824,342,945
DSC_6228.jpg,4288,2848,codierte_Marken,236,614,367,755
DSC_6228.jpg,4288,2848,codierte_Marken,301,705,442,852
DSC_6228.jpg,4288,2848,codierte_Marken,7,649,132,820
DSC_6228.jpg,4288,2848,codierte_Marken,1761,1358,1929,1502
DSC_6228.jpg,4288,2848,codierte_Marken,1773,1492,1917,1624
DSC_6228.jpg,4288,2848,codierte_Marken,1973,1467,2082,1589
DSC_6228.jpg,4288,2848,codierte_Marken,1995,1249,2107,1402
DSC_6228.jpg,4288,2848,codierte_Marken,1917,280,2032,392
DSC_6228.jpg,4288,2848,codierte_Marken,1914,170,2011,264
DSC_6228.jpg,4288,2848,codierte_Marken,3939,733,4098,889
DSC_6228.jpg,4288,2848,codierte_Marken,4064,883,4192,1045
DSC_6228.jpg,4288,2848,codierte_Marken_2,1739,1214,1892,1289
DSC_6228.jpg,4288,2848,codierte_Marken_2,1795,224,1867,345
DSC_6228.jpg,4288,2848,codierte_Marken_2,2061,220,2132,339
DSC_6228.jpg,4288,2848,codierte_Marken_2,4182,749,4286,930
DSC_6228.jpg,4288,2848,codierte_Marken_2,2001,49,2111,164
DSC_6229.jpg,4288,2848,codierte_Marken,2032,1645,2167,1852
DSC_6229.jpg,4288,2848,codierte_Marken,1767,1742,1914,1911
DSC_6229.jpg,4288,2848,codierte_Marken,1939,1917,2086,2014
DSC_6229.jpg,4288,2848,codierte_Marken,1739,1864,1886,1995
DSC_6229.jpg,4288,2848,codierte_Marken,486,83,614,180
DSC_6229.jpg,4288,2848,codierte_Marken,1870,380,1989,505
DSC_6229.jpg,4288,2848,codierte_Marken,1845,502,1979,617
DSC_6229.jpg,4288,2848,codierte_Marken,2026,483,2142,608
DSC_6229.jpg,4288,2848,codierte_Marken,2032,295,2161,439
DSC_6229.jpg,4288,2848,codierte_Marken_2,593,1,682,102
DSC_6229.jpg,4288,2848,codierte_Marken_2,354,61,454,164
DSC_6229.jpg,4288,2848,codierte_Marken_2,371,1,445,49
DSC_6230.jpg,4288,2848,codierte_Marken,1848,1108,1992,1264
DSC_6230.jpg,4288,2848,codierte_Marken,1832,924,1932,1042
DSC_6230.jpg,4288,2848,codierte_Marken,2048,1155,2201,1274
DSC_6230.jpg,4288,2848,codierte_Marken,2007,1024,2182,1164
DSC_6231.jpg,4288,2848,codierte_Marken,704,1152,854,1314
DSC_6231.jpg,4288,2848,codierte_Marken,1923,977,2132,1186
DSC_6231.jpg,4288,2848,codierte_Marken,2064,2270,2232,2480
DSC_6231.jpg,4288,2848,codierte_Marken,1364,192,1511,408
DSC_6231.jpg,4288,2848,codierte_Marken_2,764,886,954,1024
DSC_6231.jpg,4288,2848,codierte_Marken_2,892,311,1136,464
DSC_6232.jpg,4288,2848,codierte_Marken,1857,1177,1976,1345
DSC_6232.jpg,4288,2848,codierte_Marken,629,280,770,433
DSC_6232.jpg,4288,2848,codierte_Marken,1657,39,1848,211
DSC_6232.jpg,4288,2848,codierte_Marken_2,664,77,848,180
DSC_6233.jpg,4288,2848,codierte_Marken,1554,505,1829,720
DSC_6233.jpg,4288,2848,codierte_Marken,539,1805,676,1933
DSC_6233.jpg,4288,2848,codierte_Marken,2945,2552,3082,2702
DSC_6233.jpg,4288,2848,codierte_Marken,2164,1539,2298,1664
DSC_6233.jpg,4288,2848,codierte_Marken,3042,1564,3214,1705
DSC_6233.jpg,4288,2848,codierte_Marken,3307,411,3426,530
DSC_6233.jpg,4288,2848,codierte_Marken,3539,361,3679,477
DSC_6233.jpg,4288,2848,codierte_Marken,2495,8,2601,177
DSC_6233.jpg,4288,2848,codierte_Marken,2561,955,2692,1055
DSC_6233.jpg,4288,2848,codierte_Marken,2817,952,2879,1099
DSC_6234.jpg,4288,2848,codierte_Marken,1467,1536,1579,1655
